timestamp, package
 2017.09.05_21.43.31.471, com.android.systemui
 2017.09.05_21.43.32.206, com.kakao.talk
 2017.09.05_21.44.38.839, com.lge.signboard
 2017.09.05_21.44.57.146, com.kakao.talk
 2017.09.05_21.45.17.317, com.lge.signboard
 2017.09.05_21.45.17.644, com.kakao.talk
 2017.09.05_21.45.24.198, com.lge.signboard
 2017.09.05_21.45.25.287, com.kakao.talk
 2017.09.05_21.45.56.807, com.lge.launcher2
 2017.09.05_21.45.59.031, com.instagram.android
 2017.09.05_21.46.15.849, com.android.systemui
 2017.09.05_21.46.17.196, com.lge.signboard
 2017.09.05_21.46.17.368, com.instagram.android
 2017.09.05_21.46.19.270, com.kakao.talk
 2017.09.05_21.46.26.439, com.lge.signboard
 2017.09.05_21.46.27.012, com.kakao.talk
 2017.09.05_21.47.24.804, com.lge.signboard
 2017.09.05_21.47.29.668, com.kakao.talk
 2017.09.05_21.48.33.040, com.lge.signboard
 2017.09.05_21.48.34.015, com.kakao.talk
 2017.09.05_21.49.32.549, com.lge.ime
 2017.09.05_21.49.33.886, com.kakao.talk
 2017.09.05_21.49.46.547, com.lge.ime
 2017.09.05_21.49.47.666, com.kakao.talk
 2017.09.05_21.50.31.608, com.lge.launcher2
 2017.09.05_21.50.33.282, com.android.systemui
